marke,name,gewerk,produktart
NEODUR,HE 3,InBo,Hartstoffeinstreuung
NEODUR,HE 3 SVS 3,InBo,Hartstoffeinstreuung
NEODUR,HE 3 metallisch,InBo,Hartstoffeinstreuung
NEODUR,"HE 3 SVS 1,5",InBo,Hartstoffeinstreuung
NEODUR,HE 3 green,InBo,Hartstoffeinstreuung
NEODUR,HE 65,InBo,Hartstoffeinstreuung
NEODUR,HE 65 SVS 3,InBo,Hartstoffeinstreuung
NEODUR,"HE 65 SVS 1,5",InBo,Hartstoffeinstreuung
NEODUR,HE 65 metallisch,InBo,Hartstoffeinstreuung
NEODUR,HE 65 Plus,InBo,Hartstoffeinstreuung
NEODUR,HE 65 Plus SVS 3,InBo,Hartstoffeinstreuung
NEODUR,HE 40,InBo,Hartstoffeinstreuung
NEODUR,HE 40-8,InBo,Hartstoffeinstreuung
NEODUR,HE 60 rapid,InBo,Hartstoffeinstreuung
NEODUR,HE 60 rapid SVS 3,InBo,Hartstoffeinstreuung
NEODUR,"HE 60 rapid SVS 1,5",InBo,Hartstoffeinstreuung
NEODUR,HE 60 rapid metallisch,InBo,Hartstoffeinstreuung
NEODUR,Level,InBo,Hartstoffeinstreuung
GRANIDUR,GRANIDUR 05,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
GRANIDUR,GRANIDUR 08,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
GRANIDUR,BIANCO,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
GRANIDUR,NERO,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
KORODUR-COPETTI-FLOOR,KCF 05,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
KORODUR-COPETTI-FLOOR,KCF 08,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
TRUAZZO,TRU Self-Leveling,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
TRUAZZO,TRU PC,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
TRUAZZO,TRU SP,"Sicht-
estrich",GAP: Sichtestrich (kein Produktart-Wert)
KORODUR,FSCem Screed,Estrich,GAP: Estrich (kein Produktart-Wert)
KORODUR,HB 5,Haftbrücke,Haftbrücken & Grundierungen
KORODUR,HB 5 rapid,Haftbrücke,Haftbrücken & Grundierungen
KORODUR,uniPrimer,Grundierung,Haftbrücken & Grundierungen
KORODUR,PC,Grundierung,Haftbrücken & Grundierungen
KORODUR,TXPK,Grundierung,Haftbrücken & Grundierungen
KORODUR,easyFinish,"Nach-
behandlung",Oberflächenvergütung
KORODUR,nanoFinish,"Nach-
behandlung",Oberflächenvergütung
KORODUR,KOROTEX,"Nach-
behandlung",Oberflächenvergütung
KORODUR,KOROMINERAL CURE,"Nach-
behandlung",Oberflächenvergütung
KORODUR,KOROMINERAL,"Oberflächen-
finish",Oberflächenvergütung
KORODUR,KOROMINERAL Li+,"Oberflächen-
finish",Oberflächenvergütung
KORODUR,KOROMINERAL CURE,"Oberflächen-
finish",Oberflächenvergütung
Rapid Set,CEMENT ALL,"Reparatur-
mörtel",Reparaturmörtel
Rapid Set,CEMENT ALL Plus,"Reparatur-
mörtel",Reparaturmörtel
Rapid Set,MORTAR MIX,"Reparatur-
mörtel",Reparaturmörtel
Rapid Set,MORTAR MIX Dur,"Reparatur-
mörtel",Reparaturmörtel
Rapid Set,CONCRETE MIX,"Reparatur-
mörtel",Reparaturmörtel
Rapid Set,DOT Europe CONCRETE MIX,"Reparatur-
mörtel",Reparaturmörtel
Rapid Set,ASPHALT REPAIR MIX,"Reparatur-
mörtel",Reparaturmörtel
NEODUR,VM 1,"Verguss-
mörtel",Vergussmörtel
NEODUR,VM 3,"Verguss-
mörtel",Vergussmörtel
NEODUR,VM 5,Verguss- beton,Vergussbeton
NEODUR,VB 8,Verguss- beton,Vergussbeton
NEODUR,VM basic,Verguss- beton,Vergussbeton
NEODUR,SVM 03,"Schnell-
vergussm.",Vergussmörtel
NEODUR,USM 3,"Unterstopf-
mörtel",Vergussmörtel
NEODUR,USM 5,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW 02,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW BM,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW VSM,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW 3,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW 5,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW 8,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW NSM,"Unterstopf-
mörtel",Vergussmörtel
MICROTOP,TW Mineral,"Unterstopf-
mörtel",Vergussmörtel
Rapid Set,Set Control Verzögerer,"Unterstopf-
mörtel",Additive
Rapid Set,Flow Control Verflüssiger,Additive,Additive
Rapid Set,Fast Beschleuniger,Additive,Additive
